thread;rep;throughput;target_string;file_size 
13;7;8.90889e+08;------------;2000 
13;8;9.71353e+08;------------;2000 
13;9;9.42117e+08;------------;2000 
13;10;9.49797e+08;------------;2000 
14;1;9.41271e+08;------------;2000 
14;2;9.08251e+08;------------;2000 
14;3;9.26713e+08;------------;2000 
14;4;9.07073e+08;------------;2000 
14;5;9.19804e+08;------------;2000 
14;6;9.08251e+08;------------;2000 
14;7;9.12996e+08;------------;2000 
14;8;9.25486e+08;------------;2000 
14;9;9.16587e+08;------------;2000 
14;10;9.27533e+08;------------;2000 
15;1;8.68386e+08;------------;2000 
15;2;8.51462e+08;------------;2000 
15;3;8.81897e+08;------------;2000 
15;4;8.66592e+08;------------;2000 
15;5;8.95071e+08;------------;2000 
15;6;8.65519e+08;------------;2000 
15;7;8.72722e+08;------------;2000 
15;8;8.85996e+08;------------;2000 
15;9;8.73813e+08;------------;2000 
15;10;8.95453e+08;------------;2000 
16;1;8.51462e+08;------------;2000 
16;2;8.23381e+08;------------;2000 
16;3;8.53194e+08;------------;2000 
16;4;8.26301e+08;------------;2000 
16;5;8.40542e+08;------------;2000 
16;6;8.2565e+08;------------;2000 
16;7;8.22735e+08;------------;2000 
16;8;8.54585e+08;------------;2000 
16;9;8.36519e+08;------------;2000 
16;10;8.29898e+08;------------;2000 
1;1;1.74298e+08;unevenstring;500 
1;2;1.74414e+08;unevenstring;500 
1;3;1.74821e+08;unevenstring;500 
1;4;1.74009e+08;unevenstring;500 
1;5;1.74182e+08;unevenstring;500 
1;6;1.75113e+08;unevenstring;500 
1;7;1.74472e+08;unevenstring;500 
1;8;1.74763e+08;unevenstring;500 
1;9;1.74704e+08;unevenstring;500 
1;10;1.73089e+08;unevenstring;500 
2;1;3.46065e+08;unevenstring;500 
2;2;3.46522e+08;unevenstring;500 
2;3;3.48133e+08;unevenstring;500 
2;4;3.48828e+08;unevenstring;500 
2;5;3.48133e+08;unevenstring;500 
2;6;3.47671e+08;unevenstring;500 
2;7;3.48596e+08;unevenstring;500 
2;8;3.48828e+08;unevenstring;500 
2;9;3.46293e+08;unevenstring;500 
2;10;3.48364e+08;unevenstring;500 
3;1;5.24813e+08;unevenstring;500 
3;2;5.14008e+08;unevenstring;500 
3;3;5.23764e+08;unevenstring;500 
3;4;5.25866e+08;unevenstring;500 
3;5;5.20127e+08;unevenstring;500 
3;6;5.23242e+08;unevenstring;500 
3;7;5.20643e+08;unevenstring;500 
3;8;5.24813e+08;unevenstring;500 
3;9;5.23764e+08;unevenstring;500 
3;10;5.17049e+08;unevenstring;500 
4;1;6.30912e+08;unevenstring;500 
4;2;6.63656e+08;unevenstring;500 
4;3;6.67883e+08;unevenstring;500 
4;4;6.5536e+08;unevenstring;500 
4;5;6.52912e+08;unevenstring;500 
4;6;6.50481e+08;unevenstring;500 
4;7;6.6198e+08;unevenstring;500 
4;8;6.4251e+08;unevenstring;500 
4;9;6.70445e+08;unevenstring;500 
4;10;6.68735e+08;unevenstring;500 
5;1;7.42618e+08;unevenstring;500 
5;2;7.3327e+08;unevenstring;500 
5;3;7.48983e+08;unevenstring;500 
5;4;7.50054e+08;unevenstring;500 
5;5;7.71012e+08;unevenstring;500 
5;6;7.58738e+08;unevenstring;500 
5;7;7.47914e+08;unevenstring;500 
5;8;7.53287e+08;unevenstring;500 
5;9;7.57642e+08;unevenstring;500 
5;10;7.47914e+08;unevenstring;500 
6;1;8.02891e+08;unevenstring;500 
6;2;8.11591e+08;unevenstring;500 
6;3;8.09086e+08;unevenstring;500 
6;4;8.01664e+08;unevenstring;500 
6;5;8.15378e+08;unevenstring;500 
6;6;8.49737e+08;unevenstring;500 
6;7;8.09086e+08;unevenstring;500 
6;8;8.40205e+08;unevenstring;500 
6;9;8.36185e+08;unevenstring;500 
6;10;8.46992e+08;unevenstring;500 
7;1;8.0044e+08;unevenstring;500 
7;2;8.40205e+08;unevenstring;500 
7;3;8.1285e+08;unevenstring;500 
7;4;8.28259e+08;unevenstring;500 
7;5;8.05358e+08;unevenstring;500 
7;6;8.38861e+08;unevenstring;500 
7;7;8.16648e+08;unevenstring;500 
7;8;8.16648e+08;unevenstring;500 
7;9;8.52501e+08;unevenstring;500 
7;10;7.90781e+08;unevenstring;500 
8;1;8.91646e+08;unevenstring;500 
8;2;8.69466e+08;unevenstring;500 
8;3;8.05358e+08;unevenstring;500 
8;4;8.41554e+08;unevenstring;500 
8;5;8.75272e+08;unevenstring;500 
8;6;8.23058e+08;unevenstring;500 
8;7;8.38861e+08;unevenstring;500 
8;8;8.72359e+08;unevenstring;500 
8;9;8.32203e+08;unevenstring;500 
8;10;8.52501e+08;unevenstring;500 
9;1;8.55282e+08;unevenstring;500 
9;2;7.82519e+08;unevenstring;500 
9;3;8.46992e+08;unevenstring;500 
9;4;8.62316e+08;unevenstring;500 
9;5;8.62316e+08;unevenstring;500 
9;6;8.55282e+08;unevenstring;500 
9;7;9.14988e+08;unevenstring;500 
9;8;8.33526e+08;unevenstring;500 
9;9;8.85622e+08;unevenstring;500 
9;10;8.17922e+08;unevenstring;500 
10;1;8.75272e+08;unevenstring;500 
10;2;8.37521e+08;unevenstring;500 
10;3;8.66592e+08;unevenstring;500 
10;4;8.06597e+08;unevenstring;500 
10;5;7.98003e+08;unevenstring;500 
10;6;7.74428e+08;unevenstring;500 
10;7;8.53889e+08;unevenstring;500 
10;8;8.79678e+08;unevenstring;500 
10;9;8.81156e+08;unevenstring;500 
10;10;8.2565e+08;unevenstring;500 
11;1;8.30884e+08;unevenstring;500 
11;2;8.66592e+08;unevenstring;500 
11;3;8.62316e+08;unevenstring;500 
11;4;8.0784e+08;unevenstring;500 
11;5;8.72359e+08;unevenstring;500 
11;6;8.72359e+08;unevenstring;500 
11;7;8.45626e+08;unevenstring;500 
11;8;8.30884e+08;unevenstring;500 
11;9;7.93174e+08;unevenstring;500 
11;10;9.13394e+08;unevenstring;500 
12;1;8.2957e+08;unevenstring;500 
12;2;8.73813e+08;unevenstring;500 
12;3;8.55282e+08;unevenstring;500 
12;4;8.58082e+08;unevenstring;500 
12;5;8.69466e+08;unevenstring;500 
12;6;8.58082e+08;unevenstring;500 
