thread;rep;throughput;target_string;file_size 
3;5;3.58641e+09;------------;8000 
3;6;3.4521e+09;------------;8000 
3;7;3.55902e+09;------------;8000 
3;8;3.52167e+09;------------;8000 
3;9;3.56962e+09;------------;8000 
3;10;3.58641e+09;------------;8000 
4;1;4.32849e+09;------------;8000 
4;2;4.39885e+09;------------;8000 
4;3;4.18384e+09;------------;8000 
4;4;4.43373e+09;------------;8000 
4;5;4.28427e+09;------------;8000 
4;6;4.34868e+09;------------;8000 
4;7;4.3218e+09;------------;8000 
4;8;4.39655e+09;------------;8000 
4;9;4.36679e+09;------------;8000 
4;10;4.13639e+09;------------;8000 
5;1;5.1974e+09;------------;8000 
5;2;5.13065e+09;------------;8000 
5;3;5.09017e+09;------------;8000 
5;4;5.09017e+09;------------;8000 
5;5;5.16222e+09;------------;8000 
5;6;5.11189e+09;------------;8000 
5;7;5.01711e+09;------------;8000 
5;8;5.01411e+09;------------;8000 
5;9;5.03518e+09;------------;8000 
5;10;5.1974e+09;------------;8000 
6;1;5.67565e+09;------------;8000 
6;2;5.46133e+09;------------;8000 
6;3;5.6413e+09;------------;8000 
6;4;5.51519e+09;------------;8000 
6;5;5.49352e+09;------------;8000 
6;6;5.50073e+09;------------;8000 
6;7;5.55169e+09;------------;8000 
6;8;5.27917e+09;------------;8000 
6;9;5.29584e+09;------------;8000 
6;10;5.46489e+09;------------;8000 
7;1;5.76141e+09;------------;8000 
7;2;5.60361e+09;------------;8000 
7;3;5.53703e+09;------------;8000 
7;4;5.15271e+09;------------;8000 
7;5;5.40155e+09;------------;8000 
7;6;5.6413e+09;------------;8000 
7;7;5.72211e+09;------------;8000 
7;8;5.43656e+09;------------;8000 
7;9;5.084e+09;------------;8000 
7;10;5.67565e+09;------------;8000 
8;1;6.04802e+09;------------;8000 
8;2;5.88674e+09;------------;8000 
8;3;5.79324e+09;------------;8000 
8;4;5.9158e+09;------------;8000 
8;5;5.64509e+09;------------;8000 
8;6;5.95359e+09;------------;8000 
8;7;5.73776e+09;------------;8000 
8;8;5.99615e+09;------------;8000 
8;9;6.0699e+09;------------;8000 
8;10;5.89088e+09;------------;8000 
9;1;5.93674e+09;------------;8000 
9;2;5.81734e+09;------------;8000 
9;3;6.03063e+09;------------;8000 
9;4;6.08752e+09;------------;8000 
9;5;6.15452e+09;------------;8000 
9;6;5.74169e+09;------------;8000 
9;7;5.94937e+09;------------;8000 
9;8;6.15001e+09;------------;8000 
9;9;6.05239e+09;------------;8000 
9;10;6.15904e+09;------------;8000 
10;1;6.10525e+09;------------;8000 
10;2;6.40352e+09;------------;8000 
10;3;6.15001e+09;------------;8000 
10;4;6.0743e+09;------------;8000 
10;5;6.03931e+09;------------;8000 
10;6;5.8498e+09;------------;8000 
10;7;6.19085e+09;------------;8000 
10;8;5.80125e+09;------------;8000 
10;9;6.05239e+09;------------;8000 
10;10;6.10969e+09;------------;8000 
11;1;6.34539e+09;------------;8000 
11;2;5.79324e+09;------------;8000 
11;3;6.04802e+09;------------;8000 
11;4;6.24617e+09;------------;8000 
11;5;6.41331e+09;------------;8000 
11;6;6.36465e+09;------------;8000 
11;7;6.29775e+09;------------;8000 
11;8;5.97905e+09;------------;8000 
11;9;6.23688e+09;------------;8000 
11;10;6.22762e+09;------------;8000 
12;1;6.38889e+09;------------;8000 
12;2;6.3502e+09;------------;8000 
12;3;6.11415e+09;------------;8000 
12;4;6.2836e+09;------------;8000 
12;5;6.26951e+09;------------;8000 
12;6;5.46845e+09;------------;8000 
12;7;6.43792e+09;------------;8000 
12;8;6.15904e+09;------------;8000 
12;9;6.42805e+09;------------;8000 
12;10;5.97479e+09;------------;8000 
